date,close,volume,open,high,low
,,,,,
2018/01/26,1175.84,1981173,1175.08,1175.84,1158.11
2018/01/25,1170.37,1461518,1172.53,1175.94,1162.76
2018/01/24,1164.24,1382904,1177.33,1179.86,1161.05
2018/01/23,1169.97,1309862,1159.85,1171.6266,1158.75
2018/01/22,1155.81,1616120,1137.49,1159.88,1135.1101
2018/01/19,1137.51,1390118,1131.83,1137.86,1128.3
2018/01/18,1129.79,1194943,1131.41,1132.51,1117.5
2018/01/17,1131.98,1200476,1126.22,1132.6,1117.01
2018/01/16,1121.76,1566662,1132.51,1139.91,1117.8316
2018/01/12,1122.26,1718491,1102.41,1124.29,1101.15
2018/01/11,1105.52,977727,1106.3,1106.525,1099.59
2018/01/10,1102.61,1042273,1097.1,1104.6,1096.11
2018/01/09,1106.26,900089,1109.4,1110.57,1101.2307
2018/01/08,1106.94,1046767,1102.23,1111.27,1101.62
2018/01/05,1102.23,1279990,1094,1104.25,1092
2018/01/04,1086.4,1002945,1088,1093.5699,1084.0017
2018/01/03,1082.48,1429757,1064.31,1086.29,1063.21
2018/01/02,1065,1236401,1048.34,1066.94,1045.23
